law	family	cell	R2	offLine%	Lspan	darkestL*	darkP05	gapMedMM	gapP05MM	gapP95MM	gapRatioMed	gapRatioP95	monotonic%	spacingCoV	spacingStep	driftBeat	wStepAlong	wStepAcross	wRange	HFALL95	HFALLstep	moireRMS	moireLF	moireLFmax	freeEndMM	freeEndRawMM	bareMM	inkMM	weightedInkMM	paths	floorRulings	bundlePasses	bundleFlood%	contGapMM	contFlood%	screenAngles	screenSeps
isophoteWidth	width	ellipsoid-contour	0.425	22.9	39.8	4.5	10.7	1.74	0.78	2.48	1.22	1.58	51.9	0.142	1.33	185	2.656	1.535	1-5.93	2.58	9.84	17.91	5.5	18.42	0	14.75	1.66	774.3	2376	228	80/82					2/17	15
whiteBand	width	sphere-hatch	0.512	5.8	29	4.5	51.4	2.16	0.33	3.16	1.12	1.5	25.1	0.31	1.67	51	2.11	0.633	1-5.99	6.07	79.43	8.93	3.64	29.39	0	22.27	1.66	1192.4	3791	450	103/103					20/35	15
whiteBand	width	capsule-hatch	0.464	6.6	31	4.5	48.2	1.96	0.36	2.78	1.15	1.83	28.4	0.312	2.5	56	2.236	0.761	1-5.99	10.1	81.48	10.47	3.49	26.02	0	20.35	1.71	1128.1	3556.7	421	100/100					24	
whiteBand	width	cylinder-hatch	0.373	25.5	23.1	4.5	43.4	2.23	0.52	2.67	1.05	1.74	19.8	0.169	1.75	126	3.32	0.556	1-5.98	35.87	77.66	11.18	5.76	33.14	0	22.25	1.5	1653	5247.4	600	118/118					30	
whiteBand	width	sphere-crosshatch	0.789	22.1	75.1	4.5	4.5	2.22	0.1	3.27	1.16	4.08	39.1	0.236	1.67	51	2.537	0.633	1-5.99	21.05	60.62	12.91	8.45	31.57	0	21.21	1.56	2288.7	7201.3	840	206/206					159/20	41
whiteBand	width	ellipsoid-contour	0.378	10.3	39.3	4.5	16	1.74	0.78	2.48	1.22	1.58	51.9	0.142	1.33	185	2.151	0.537	1-5.88	6.69	19.09	17	4.45	17.5	0	16.26	1.66	774.3	2506.2	312	80/82					2/17	15
fineLadder	drop	sphere-hatch	0.032	36.3	7.5	4.5	79.4	1.13	0.15	1.79	1.44	2.09	47.4	0.678	2	36	0	0	1-1	7.88	81.08	8.28	4.43	36.15	0	0	1.21	2302.6	2302.6	61	103/103					19	
fineLadder	drop	capsule-hatch	0.032	33.1	8.4	4.5	75.8	0.99	0.19	1.63	1.44	2.17	35.3	0.685	2.75	38	0	0	1-1	13.44	83.26	9.42	5.07	33.78	0	0	1.6	2176.3	2176.3	64	100/100					23	
fineLadder	drop	cylinder-hatch	0.127	48.1	28	4.5	40.3	1.03	0.23	1.34	1.31	2.09	25.7	0.467	2	57	0	0	1-1	34.72	66.66	16.44	12.55	58.79	0	0	1	3427.9	3427.9	87	118/118					31	
fineLadder	drop	sphere-crosshatch	0.004	34.2	5.5	4.5	53.8	1.02	0.11	1.73	1.43	2.14	43.9	0.568	3	36	0	0	1-1	27.09	59.59	13.54	9.93	53.42	0	0	1	4129	4129	109	206/206					19/160/36	17/39/56
fineLadder	drop	ellipsoid-contour	0.338	15.3	5.6	73.4	81.1	0.98	0.47	1.41	1.36	2.07	50	0.398	2	1632	0	0	1-1	3.22	14.3	2.77	1.92	6.48	0	0	1.25	1454.5	1454.5	34	81/82					2/17/166	15/16/31
phaseFineLadder	drop	sphere-hatch	0.045	38.7	9.2	4.5	78.6	1.06	0.15	1.7	1.91	2.08	40.4	0.71	2	35	0	0	1-1	7.59	82.3	8.38	4.38	35.76	0	0	1.21	2385.2	2385.2	62	103/103					20	
phaseFineLadder	drop	capsule-hatch	0.04	36.4	9.8	4.5	75.2	0.98	0.18	1.59	1.58	2.22	38.8	0.722	2.2	33	0	0	1-1	11.56	84.74	9.37	5.04	32.94	0	0	1.6	2195.8	2195.8	63	100/100					23	
phaseFineLadder	drop	cylinder-hatch	0.117	49.4	28.8	4.5	33.7	0.91	0.23	1.34	1.71	2.09	31.9	0.548	2	53	0	0	1-1	34.9	70.78	17.41	13.59	64.29	0	0	1.25	3564.3	3564.3	89	118/118					31	
phaseFineLadder	drop	sphere-crosshatch	0.003	52.5	8.2	4.5	55.3	0.93	0.09	1.66	1.86	2.27	39.4	0.617	2.5	35	0	0	1-1	28.47	58.87	12.94	9.11	49.57	0	0	0.75	4274.2	4274.2	109	206/206					19/160	39
phaseFineLadder	drop	ellipsoid-contour	0.303	16.8	5	74.7	81.3	0.98	0.47	1.4	1.36	2.07	49.6	0.382	2	402	0	0	1-1	3.65	12.11	2.63	1.71	5.13	0	0	1.06	1460.4	1460.4	34	77/82					2/17/166	15/16/31
perceptualRamp	drop	sphere-hatch	0.049	37.7	9.4	4.5	79.2	1.1	0.15	1.81	1.91	2.09	46.2	0.74	2	32	0	0	1-1	6.52	83.35	8.33	4.36	35.44	0	0	1.35	2341.3	2341.3	60	11/103					20	
perceptualRamp	drop	capsule-hatch	0.044	33.7	9.7	4.5	75.4	0.96	0.31	1.72	1.54	2.16	45	0.723	2.2	35	0	0	1-1	13.9	85.16	9.32	4.98	32.92	0	0	1.6	2200.6	2200.6	64	8/100					24	
perceptualRamp	drop	cylinder-hatch	0.108	50.5	28.6	4.5	32.8	0.96	0.22	1.34	1.67	2.09	37.1	0.579	2	49	0	0	1-1	36.35	76.39	17.75	13.78	64.67	0	0	1.56	3523.7	3523.7	88	4/118					30	
perceptualRamp	drop	sphere-crosshatch	0.003	50.3	6.5	4.5	56.2	0.96	0.1	1.75	1.89	2.36	45.5	0.657	2	32	0	0	1-1	30.1	60.67	12.68	8.96	48.64	0	0	0.96	4124.7	4124.7	104	22/206					20/159	41
perceptualRamp	drop	ellipsoid-contour	0.325	22.5	5.1	76.7	81.2	0.97	0.47	1.47	1.45	2.07	55.6	0.413	2	552	0	0	1-1	3.5	7.3	2.75	1.8	5.28	0	0	1.31	1441.9	1441.9	34	3/82					2/17/166	15/16/31
weightSmoothstep	width	sphere-hatch	0.139	28.4	20.2	4.5	40.1	2.79	0.41	4.07	1.19	1.92	35	0.282	2.4	50	4.049	2.051	1.1-5.21	6.24	78.81	17.03	11.05	43.01	0	0	2.06	884.6	3348	25	103/103					20/36	16
weightSmoothstep	width	capsule-hatch	0.134	17.5	21.2	4.5	41.1	2.64	0.49	3.95	1.2	2.25	33.3	0.215	2	54	3.9	1.8	1.07-5.04	6.52	80.8	16.94	10.16	44.08	0	0	2.02	848.8	3267.6	27	100/100					24	
weightSmoothstep	width	cylinder-hatch	0	58.4	16	4.5	37.2	3.03	0.66	3.95	1.16	2.11	31.3	0.134	1.6	132	3.712	1.775	1.42-5.26	37.71	78.36	18.78	13.29	51.9	0	0	2.02	1243.7	4084.7	33	118/118					31	
weightSmoothstep	width	sphere-crosshatch	0.077	44.4	17.1	4.5	4.5	2.41	0.14	4.06	1.21	3.92	31.3	0.201	2.4	50	4.049	2.051	1.1-5.28	29.93	61.64	25.96	19.47	53.73	0	0	1.91	1764	6452.2	51	206/206					20/159/36	16/41/57
weightSmoothstep	width	ellipsoid-contour	0.104	46.9	17.9	4.5	7.9	2.65	1.04	3.2	1.08	1.65	60.7	0.085	1.2	1203	0	1.676	1.02-5.13	3.26	19.05	21.34	15.79	62.72	0	0	2.02	576.2	1449.3	15	74/82					2/17/166	15/16/31
lozengeStipple	drop	sphere-hatch	0.051	42.8	10.8	4.5	75.3	0.75	0.16	1.69	1.89	2.49	45.8	0.723	8	157	0	0	1-1	7.61	82.33	8.63	4.64	36.01	23.75	23.75	1.35	2626.5	2626.5	242	11/103					20	
lozengeStipple	drop	capsule-hatch	0.041	32	10	4.5	70.6	0.7	0.27	1.57	1.47	2.33	46.8	0.494	5	186	0	0	1-1	16.41	81.79	10.18	5.53	35.67	21.75	21.75	1.5	2493.3	2493.3	226	8/100					24	
lozengeStipple	drop	cylinder-hatch	0.115	48.4	29.2	4.5	28.6	0.67	0.22	1.34	1.52	2.1	40.9	0.285	4	871	0	0	1-1	34.51	68.4	17.69	13.65	62.39	22.5	22.5	1.06	3849.8	3849.8	263	4/118					30	
lozengeStipple	drop	sphere-crosshatch	0.003	68	2.7	4.5	40.6	0.68	0.1	1.54	1.86	3.13	44.9	0.43	8	157	0	0	1-1	26.09	57.88	14.09	10.02	51.17	23.94	23.94	0.96	4812.6	4812.6	542	22/206					20/159	41
lozengeStipple	drop	ellipsoid-contour	0.188	20	5.2	66.5	76.7	0.81	0.39	1.33	1.72	2.7	53.6	0.158	2	533	0	0	1-1	5.09	11	3.38	1.81	6.36	16.5	16.5	1.06	1645.1	1645.1	160	3/82					2/17/166	15/16/31
deepFillTSP	drop	sphere-hatch	0.014	88.4	7.3	4.5	86.6	1.47	0.18	2.34	1.24	2.03	46.3	0.656	2.17	62	0	0	1-1	4.92	84.86	7.28	3.82	30.51	0	0	2.06	1621.4	1621.4	40	11/103					20	
deepFillTSP	drop	capsule-hatch	0.012	86.5	7.6	4.5	86	1.43	0.42	2.22	1.26	2.19	38	0.686	2.8	60	0	0	1-1	5.32	85.15	7.37	3.76	29.41	0	0	2.25	1500.4	1500.4	41	8/100					24/8	16
deepFillTSP	drop	cylinder-hatch	0.147	44.3	15.8	4.5	70.7	1.33	0.34	2.31	1.41	2.69	44.4	0.497	2	47	0	0	1-1	33.53	77.99	10.36	7.5	42.42	0	0	1.66	2338.2	2338.2	56	4/118					27	
deepFillTSP	drop	sphere-crosshatch	0.077	58.5	7.9	4.5	72	1.35	0.1	2.25	1.36	6.84	43.7	0.526	2.17	50	0	0	1-1	25.45	57.99	10.31	6.97	43.15	0	0	1.06	3002.8	3002.8	76	22/206					20/144/37	17/56/73
deepFillTSP	drop	ellipsoid-contour	0.003	76.1	1.3	79.5	87.2	1.39	0.91	2.06	1.42	2.31	49.7	0.381	1.5	48	0	0	1-1	2.77	8.11	1.69	0.74	2.2	0	0	1.31	997.6	997.6	24	3/82					2	
bundleCount	bundle	sphere-hatch	0.756	13.6	40.2	4.5	43.9	0.34	0.32	1.04	1.06	3.5	51.9	0.259	2	52	0	0	1-1	6.84	72.83	6.45	2.9	20.95	19.95	19.95	1.21	4651.7	4651.7	120	26/26	1-7	0			20	
bundleCount	bundle	capsule-hatch	0.715	12.8	39.4	4.5	41.7	0.34	0.32	0.96	1.09	3.51	51.8	0.195	2	117	0	0	1-1	7.38	73.94	6.78	3.09	21.09	19.8	19.8	1.21	4271.4	4271.4	138	25/25	1-7	0			24	
bundleCount	bundle	cylinder-hatch	0.592	5.2	29	4.5	40.5	0.34	0.33	0.87	1.04	2.91	59	0	1		0	0	1-1	34.95	81.57	9.85	5.77	28.02	16	16	0.85	6345.2	6345.2	225	30/30	2-7	0			31	
bundleCount	bundle	sphere-crosshatch	0.497	49.7	73.9	4.5	4.5	0.34	0.26	0.72	1.07	2.95	66.7	0.13	2	52	0	0	1-1	24.78	50.84	13.07	10.89	37.26	20.05	20.05	1	9227.8	9227.8	267	52/52	1-8	0			159/20	41
bundleCount	bundle	ellipsoid-contour	0.768	12.9	34.9	36	46.9	0.35	0.33	0.86	1.04	3.27	49.8	0	1		0	0	1-1	4.92	18.22	5.34	2.5	7.82	13.33	13.33	1.31	2871.6	2871.6	117	20/21	1-7	0			0/15	15
bundleSubNib	bundle	sphere-hatch	0.614	39	82.3	4.5	4.5	0.19	0.18	0.61	1.01	5.02	50.9	0.375	3	55	0	0	1-1	27.14	64.58	13.75	11.18	36.73	18.25	18.25	2.21	7992.8	7992.8	201	26/26	2-13	78.4			20	
bundleSubNib	bundle	capsule-hatch	0.591	42.8	80.5	4.5	4.5	0.19	0.18	0.57	1.03	4.5	52.5	0.195	2	117	0	0	1-1	25.86	65.14	12.73	10.08	35.36	19.8	19.8	1.21	7334.5	7334.5	236	25/25	1-13	78.4			24	
bundleSubNib	bundle	cylinder-hatch	0.638	39.4	57.7	4.5	4.5	0.19	0.18	0.5	1.01	4.06	62.1	0	1		0	0	1-1	32.38	67.36	13.83	11.2	29.24	21.5	21.5	0.75	11145.5	11145.5	409	30/30	2-13	71.3			31	
bundleSubNib	bundle	sphere-crosshatch	0.205	75.2	58.9	4.5	4.5	0.19	0.18	0.47	1.02	3.15		0.188	3	55	0	0	1-1	31.96	66.11	10.24	6.57	43.43	22	22	0.96	16009.9	16009.9	462	52/52	2-13	77			159/20	41
bundleSubNib	bundle	ellipsoid-contour	0.613	38.3	74.8	4.5	4.5	0.19	0.18	0.5	1.01	3.93	50.6	0	1		0	0	1-1	24.93	67.95	12.31	8.45	24.87	15.1	15.1	1.1	5107.5	5107.5	227	20/21	2-12	68.1			0/15	15
bundleEased	bundle	sphere-hatch	0.792	17	42.1	4.5	44.1	0.34	0.32	1.36	1.06	3.97	47.9	0.259	2	52	0	0	1-1	7.89	79.31	7.36	3.99	23.9	18	18	2.35	4404	4404	112	26/26	1-7	0			20	
bundleEased	bundle	capsule-hatch	0.771	13	41.8	4.5	41.5	0.34	0.32	1.24	1.09	3.8	47.4	0.195	2	117	0	0	1-1	7.97	80.89	7.37	3.6	20.97	19.8	19.8	1.21	4091.5	4091.5	131	25/25	1-7	0			24	
bundleEased	bundle	cylinder-hatch	0.662	15.4	34.6	4.5	40.6	0.34	0.33	0.89	1.04	2.92	56.1	0	1		0	0	1-1	34.95	81.32	10.29	6.16	27.92	15.35	15.35	1.56	6014.4	6014.4	195	30/30	1-7	0			31	
bundleEased	bundle	sphere-crosshatch	0.734	31	79.4	4.5	4.5	0.34	0.26	0.72	1.07	3.35	60	0.13	2	52	0	0	1-1	22.48	58.14	14.28	11.23	27.71	20.05	20.05	1.71	8755.1	8755.1	256	52/52	1-8	0			159/20	41
bundleEased	bundle	ellipsoid-contour	0.832	18.1	41.5	36	46.5	0.35	0.33	0.98	1.05	3.75	52.6	0	1		0	0	1-1	4.8	13.61	6.01	3.49	9.51	13.23	13.23	1.41	2706.4	2706.4	95	20/21	1-7	0			0/15	15
bundleDither	bundle	sphere-hatch	0.718	14.4	39.3	4.5	43.4	0.34	0.32	1.06	1.06	3.63	51.7	0.259	2	52	0	0	1-1	7.78	72.15	6.89	3.43	22.32	19.75	19.75	1.21	4623.6	4623.6	135	26/26	1-7	0			20	
